pres,date,Legislative Branch,Judicial Branch,Department of Agriculture,Department of Commerce,Department of Defense--Military Programs,Department of Education,Department of Energy,Department of Health and Human Services,Department of Homeland Security,Department of Housing and Urban Development,Department of the Interior,Department of Justice,Department of Labor,Department of State,Department of Transportation,Department of the Treasury,Department of Veterans Affairs,Corps of Engineers--Civil Works,Other Defense Civil Programs,Environmental Protection Agency,International Assistance Programs,National Aeronautics and Space Administration,National Science Foundation,Office of Personnel Management,Social Security Administration (On-Budget),Social Security Administration (Off-Budget)
Clinton,1997,0.091157703,0.182315406,3.008204193,0.182315406,14.67639015,1.731996354,0.820419325,19.325433,0.63810392,1.549680948,0.364630811,0.729261623,1.731996354,0.364630811,2.096627165,21.51321787,2.278942571,0.182315406,1.731996354,0.364630811,0.546946217,0.820419325,0.182315406,2.552415679,1.914311759,20.41932543
Clinton,1998,0.183486239,0.183486239,3.027522936,0.183486239,14.22018349,1.743119266,0.825688073,19.44954128,0.550458716,1.651376147,0.366972477,0.733944954,1.743119266,0.275229358,2.018348624,21.55963303,2.293577982,0.183486239,1.743119266,0.366972477,0.458715596,0.825688073,0.183486239,2.568807339,2.110091743,20.55045872
Clinton,1999,0.183654729,0.183654729,3.397612489,0.275482094,14.04958678,1.652892562,0.826446281,19.37557392,0.734618916,1.744719927,0.459136823,0.918273646,1.744719927,0.367309458,2.02020202,20.75298439,2.295684114,0.183654729,1.744719927,0.367309458,0.550964187,0.734618916,0.183654729,2.571166208,2.203856749,20.4775023
G. W. Bush,2000,0.183823529,0.183823529,3.860294118,0.367647059,14.43014706,1.746323529,0.735294118,19.66911765,0.643382353,1.5625,0.367647059,0.827205882,1.654411765,0.367647059,2.113970588,20.03676471,2.389705882,0.183823529,1.654411765,0.367647059,0.643382353,0.735294118,0.183823529,2.481617647,2.297794118,20.3125
G. W. Bush,2001,0.182815356,0.182815356,3.382084095,0.274223035,14.25959781,1.736745887,0.822669104,20.93235832,0.731261426,1.645338208,0.365630713,0.914076782,1.919561243,0.365630713,2.376599634,19.01279707,2.193784278,0.182815356,1.645338208,0.365630713,0.548446069,0.731261426,0.182815356,2.468007313,1.919561243,20.65813528
G. W. Bush,2002,0.182982617,0.182982617,3.110704483,0.274473925,15.09606587,2.104300091,0.823421775,21.13449222,0.823421775,1.463860933,0.457456542,1.006404392,2.927721866,0.457456542,2.561756633,16.92589204,2.287282708,0.182982617,1.555352242,0.365965233,0.640439158,0.640439158,0.182982617,2.378774016,2.104300091,20.12808783
G. W. Bush,2003,0.183318057,0.183318057,3.116406966,0.274977085,16.49862511,2.383134739,0.824931256,21.44821265,1.374885426,1.558203483,0.366636114,0.916590284,2.933088909,0.366636114,2.199816682,15.58203483,2.383134739,0.183318057,1.649862511,0.366636114,0.54995417,0.641613199,0.183318057,2.29147571,1.924839597,19.61503208
G. W. Bush,2004,0.183486239,0.183486239,2.844036697,0.275229358,17.52293578,2.47706422,0.825688073,21.74311927,1.100917431,1.834862385,0.366972477,1.19266055,2.293577982,0.458715596,2.201834862,15.04587156,2.385321101,0.183486239,1.651376147,0.366972477,0.550458716,0.642201835,0.183486239,2.293577982,1.926605505,19.26605505
G. W. Bush,2005,0.185013876,0.185013876,3.237742831,0.185013876,17.7613321,2.682701203,0.832562442,21.73913043,1.480111008,1.572617946,0.370027752,0.832562442,1.757631822,0.46253469,2.127659574,15.35615171,2.590194265,0.185013876,1.665124884,0.277520814,0.555041628,0.555041628,0.185013876,2.220166512,2.035152636,18.96392229
G. W. Bush,2006,0.184842884,0.184842884,3.234750462,0.184842884,17.37523105,3.234750462,0.646950092,21.34935305,2.402957486,1.478743068,0.277264325,0.831792976,1.478743068,0.462107209,2.125693161,16.17375231,2.402957486,0.277264325,1.57116451,0.277264325,0.462107209,0.554528651,0.184842884,2.218114603,1.848428835,18.5767098
G. W. Bush,2007,0.18399264,0.18399264,2.851885925,0.18399264,17.84728611,2.207911684,0.643974241,22.63109476,1.287948482,1.563937443,0.367985281,0.827966881,1.563937443,0.459981601,2.115915363,16.55933763,2.483900644,0.09199632,1.563937443,0.27598896,0.459981601,0.551977921,0.18399264,1.931922723,1.839926403,19.13523459
Obama,2008,0.092936803,0.185873606,2.788104089,0.278810409,18.49442379,2.044609665,0.650557621,21.8401487,1.301115242,1.486988848,0.278810409,0.836431227,1.858736059,0.557620818,2.044609665,17.10037175,2.602230483,0.185873606,1.394052045,0.278810409,0.371747212,0.557620818,0.185873606,2.044609665,1.858736059,18.6802974
Obama,2009,0.094250707,0.188501414,3.110273327,0.282752121,17.05937795,1.413760603,0.659754948,21.30065975,1.413760603,1.602262017,0.282752121,0.754005655,3.675777568,0.565504241,1.979264844,18.75589067,2.544769086,0.188501414,1.50801131,0.188501414,0.377002828,0.471253534,0.188501414,1.979264844,2.073515551,17.34213007
Obama,2010,0.185873606,0.185873606,3.43866171,0.371747212,17.93680297,2.50929368,0.836431227,22.95539033,1.208178439,1.579925651,0.371747212,0.836431227,4.646840149,0.650557621,2.044609665,11.98884758,2.881040892,0.278810409,1.486988848,0.278810409,0.557620818,0.464684015,0.185873606,1.858736059,1.858736059,18.40148699
Obama,2011,0.093370682,0.186741363,3.641456583,0.280112045,17.55368814,1.680672269,0.840336134,23.06255836,1.213818861,1.493930906,0.373482726,0.746965453,3.454715219,0.653594771,1.960784314,14.00560224,3.267973856,0.280112045,1.400560224,0.280112045,0.56022409,0.466853408,0.186741363,1.960784314,4.014939309,16.33986928
Obama,2012,0.09478673,0.18957346,3.791469194,0.28436019,17.44075829,1.516587678,0.853080569,22.74881517,1.232227488,1.327014218,0.379146919,0.853080569,2.843601896,0.758293839,1.990521327,12.41706161,3.317535545,0.18957346,2.085308057,0.379146919,0.568720379,0.473933649,0.18957346,2.085308057,5.023696682,16.96682464
Obama,2013,0.09380863,0.187617261,4.221388368,0.281425891,16.51031895,1.125703565,0.656660413,24.10881801,1.594746717,1.500938086,0.281425891,0.844277674,2.157598499,0.750469043,2.063789869,10.88180113,3.752345216,0.187617261,1.500938086,0.281425891,0.562851782,0.469043152,0.187617261,2.251407129,3.001876173,20.54409006
Obama,2014,0.093720712,0.187441425,3.748828491,0.187441425,15.46391753,1.593252109,0.656044986,25.02343018,1.124648547,1.030927835,0.281162137,0.749765698,1.499531396,0.749765698,2.06185567,11.90253046,4.029990628,0.187441425,1.499531396,0.281162137,0.468603561,0.468603561,0.187441425,2.343017807,2.155576382,22.02436739
Obama,2015,0.093720712,0.187441425,3.561387067,0.187441425,14.33926898,2.249297095,0.656044986,26.14807873,1.124648547,0.937207123,0.281162137,0.656044986,1.124648547,0.656044986,1.874414246,12.37113402,4.029990628,0.187441425,1.593252109,0.187441425,0.562324274,0.468603561,0.187441425,2.343017807,2.249297095,21.74320525
